price,address,features,is_active,url
1599999,"910 W Madison St APT 904E, Chicago, IL 60607","3 bds, 3 ba, 2,500 sqft",Active,https://www.zillow.com/homedetails/910-W-Madison-St-APT-904E-Chicago-IL-60607/70466134_zpid/
700000,"234 W Polk St #2309, Chicago, IL 60607","2 bds, 2 ba, 1,223 sqft",New,https://www.zillow.com/homedetails/234-W-Polk-St-2309-Chicago-IL-60607/346400251_zpid/
1699900,"1000 W Washington Blvd UNIT 202, Chicago, IL 60607","4 bds, 4 ba, 3,200 sqft",Price Change,https://www.zillow.com/homedetails/1000-W-Washington-Blvd-UNIT-202-Chicago-IL-60607/54537797_zpid/
345000,"235 W Van Buren St UNIT 1907, Chicago, IL 60607","2 bds, 2 ba, 1,128 sqft",Active,https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-1907-Chicago-IL-60607/159467676_zpid/
1469000,"812 W Van Buren St #6HI, Chicago, IL 60607","3 bds, 3 ba, 2,240 sqft",Active,https://www.zillow.com/homedetails/812-W-Van-Buren-St-6HI-Chicago-IL-60607/2075576467_zpid/
1700000,"1000 W Washington Blvd UNIT 509, Chicago, IL 60607","3 bds, 3 ba, 3,344 sqft",Active,https://www.zillow.com/homedetails/1000-W-Washington-Blvd-UNIT-509-Chicago-IL-60607/54537847_zpid/
1325000,"234 W Polk St #4008, Chicago, IL 60607","3 bds, 3 ba, 1,517 sqft",Active,https://www.zillow.com/homedetails/234-W-Polk-St-4008-Chicago-IL-60607/2053552108_zpid/
1995000,"1000 W Washington Blvd #518-17, Chicago, IL 60607","6 bds, 6 ba, 4,920 sqft",Active,https://www.zillow.com/homedetails/1000-W-Washington-Blvd-518-17-Chicago-IL-60607/2052957840_zpid/
1150000,"24 S Throop Pkwy, Chicago, IL 60607","3 bds, 4 ba, 2,700 sqft",Active,https://www.zillow.com/homedetails/24-S-Throop-Pkwy-Chicago-IL-60607/65542048_zpid/
1050000,"1128 W Adams St UNIT 4E, Chicago, IL 60607","3 bds, 3 ba, 2,143 sqft",Active,https://www.zillow.com/homedetails/1128-W-Adams-St-UNIT-4E-Chicago-IL-60607/2101409663_zpid/
495000,"1500 W Monroe St UNIT 622, Chicago, IL 60607","2 bds, 2 ba, 1,475 sqft",Active,https://www.zillow.com/homedetails/1500-W-Monroe-St-UNIT-622-Chicago-IL-60607/70473291_zpid/
469000,"811 S Lytle St APT 510, Chicago, IL 60607","2 bds, 3 ba, 1,600 sqft",Active,https://www.zillow.com/homedetails/811-S-Lytle-St-APT-510-Chicago-IL-60607/54539614_zpid/
